content,sentiment
根据Gray，公司没有计划将所有生产都搬到俄罗斯，尽管这正是公司正在生产的地方。,0
在2010年的最后一季度，欧盟的净销售额同比增加了13130万欧盟760万欧盟同年同期，而且从预税前的税前利润转移到了零利润，从预税前的700。,2
2010年第三季度，净销售额增长5.2%，欧元25.5亿吨，营业利润增长34.9%，欧元23.5亿欧元。,2
2007年，在相同的时间段，经营利润从欧元8.7的8.7锰增加到欧元13.1锰，占总销售额的7.7%。,2
经营利润总计21.1亿，比2007年的18.6亿锰增加，占净销售的9.7%。,2
芬兰人力资本公司报告2005年营业利润增长至20.5欧元，比2004年增长了9.3亿吨，净净销售额达到103.3吨，高于欧元兑103.3吨，较欧,2
服装零售连锁店L+SEPP+L+2004年的销售额增长8%，欧元1555.2MN，营业利润从2004年的欧盟17.1MNUR上升到31.1亿欧元,2
"""ICDEUNEUR74.8M的销量增长16%增长16%,营业利润将达到16.9万,与上年同期亏损0.7米.""",2
"""Finderse部门报告称,2006年销售额从欧元兑欧元57.5mn增长9.7%,至63.1mn,在2006年相比,机制分销量从欧元兑欧元16",2
"""赫尔辛基(AFX)---由诺基亚领导的股票收盘高,该公司(Nokano)宣布,计划与三洋制造3G手机制造3G手机,并且在第四季度获利公布的季度",2
2010年欧洲总理委员会的每股EUR0.12股份将提出每股欧盟0.02股份的分红，而2009年的每股收益则是2009年的每股付款的0.08。,2
2009年12月31日，Magen的消费者基础数据增长了16.1%，至2008年12月31日，其市场份额从2008年末的23%上升到2009年，,2
"""生命保险净收入从欧元从3.2MN增至欧元增加了6.80m，非寿险的净收入从2000年同期的欧元增长5.2MNEM增长到2007年的相应期间的欧",2
欧元兑换热线股市净销售额增加到193.3欧元，从179.9米和欧元前上升34.2%，至43.1欧元（欧元兑美元=1.4）。,2
"""EUR167.8欧元电话销售飙升18.5%,报告称,欧盟R20.4M,或12.2%的销售增长18.5%,报告称,2009年收购的销售量来自该公",2
诺德埃亚集团在2010年的经营利润比去年同期增加18%，欧元兑美元兑美元增长364亿欧元，总收入下降3%，达到93.3亿欧元。,2
"""今年的营业利润由欧元兑日圆的13.6米增长了,而2005年的营业利润则较2005年增长了394.7米.""",2
营运利润的三个月期间增长从欧元兑美元的1.2m增加，而收入则从2005年的20.2m增长到2005年的相比，而相比于2005年的相应期。,2
公司早报道，该公司2005年的销售额为68650万欧元，比上年同期增长11.8%，达到8220万欧元。,2
列塔尔啤酒公司的CornerstaningJorecort引用了一项成员的报告，这份报告显示，今年1月份的立陶宛啤酒市场占了14441万升，比去,2
维京线的货物收益增长了5.4%，欧元21.46欧元，货物收入增长了2.4%，至70，116货运单位，增长了2.4%，至70，116元。,2
房地产组合的公平价值增加了一倍，由于卡迪埃利的收购和全部欧拉2686.2212，2，2597万亿的收购结果。,2
2011年2月10日，芬兰媒体公司SanamomoOyjHel:Saajarv：Saajerv表示，2010年的净利润几乎是2010年的29.3,2
Areivin：Elivi夫今天报道Eur1.13EPS2009年的ESEPS，比2008年的EUR1.12增加了。,2
委员会收入增加22%，至欧元4.4米，而借贷量增长13.5%。,2
在1月，在收入中的旅客公里RPK中，交通量增加了3.2%，容量上升了3.2%，在可用坐位中的公路上，涨了12.2%。,2
"""2010年1月至9月，Fiskarse的净利润增长了14%，同比增长了6,500万欧元，从欧元的4,4.77亿欧元增长了30.2.3亿欧元，达",2
2009年，从生命保险从欧盟14.0MN的净收入从16.5欧元增长到14.0M的16.5亿美元，从非寿险的净收入从22.6亿欧元从22.6亿欧元,2
其他出口市场销售已经在其他市场上上涨，销售额已经在其他出口市场上增加。,2
由于不断增长的市场销售率和运营量增加，导致销售额增加，市场比率增加，运营量增加。,2
该协议加强了我们与诺基亚西门子网络的长期合作。,2
"""该公司的订单在2007年9月30日报1.5BLXENEUR,2007年上涨24.2个,其中国际订单金额为5343美元,而国际订单则高于去年的2",2
该公司表示，其主要市场的纸张需求增加，包括出版物论文，并且与去年相比，纸张需求增加了4%，平均纸张价格增加4%。,2
"""世界第二大不锈钢钢制造商称,在12月前三个月内的净利润将升至欧元/欧元兑7.832亿美元,或每股3.031美元,或欧元/年同期的净盈率为4.3",2
"""标准特许股价上涨1.2%，在FTSE100年期间，苏格兰皇家银行(RBC)股价上涨2%和巴克莱银行(Barchos)股价上涨1.7%。""",2
诺基亚股票股份有限公司周四上周四在手机制造商说，第三季度的收益几乎增加了一倍，全球手机市场的份额增加了一倍。,2
在其财政报告中，Seb在周五发布的财报中说，其净利润从上年前的Sek1.1114BN上涨到2074年的676.745BN，并且提出50%股息增加,2
在芬兰媒体公司AmalimaMedia报纸的请求下，芬兰特拉库斯通过由丹佛主要大学开发的模型，研究经理JariKaivo-Forja在芬兰期货研,0
股票交易公告2006年7月20日（1），巴斯韦软件股份订阅了保修和增加股票资本总共有11985股份，并且已经与巴斯软件保修程序订阅。,0
根据2004年股票选择计划，B期权的运行方案，最大可以进一步订购666106个新股票，可供参加。,0
蒂伊马里在芬兰6个国家（包括其核心芬兰市场）在194家商店经营，2005年，他们营业了76.5毫升的营业额外。,0
这次收获将大大增加Keira在俄罗斯金属工业涂料市场的销售和市场地位。,2
2007年1月至9月，芬兰网络的净销售额从2006年的2006年473.5锰增加到了500.4MN，从423.5MN4。,2
为了改变组织结构，部长的净销售增长了1.7%，分支的净销售增长了1.7%。,2
2011年2月4日--芬兰宽带数据通讯系统供应商TeleeOyjHell:TLT1V看到其净利润从2009年欧元2.1M为2010年的2010年,2
芬兰Akiuma集团的营运利润在2009年第一季度从2009年第一季度的8.2MER8.2增至17.5锰。,2
2005年第一季度芬兰银行加勒比+陆地净利润从2005年第一季度的4.8欧元增加到2006年第一季度的6.4亿。,2
芬兰金融集团Aktia报告2009年1月-2009年9月44.4MNER运营利润，比2008年同期增加了37.3MN。,2
芬兰高科技提供商Vaaahto集团报告，2007-2008年9月至2月份的会计年度净额为41.8万元，比去年同期增长11.2%。,2
2008年，芬兰食品行业公司L+NYNENTTAT公司的净销售额在2008年从2007年的309.6欧元增长了13%，达到了349.1亿元。,2
生物新品已经服务了许多当前的创世纪客户和客户基地的服务，预计由于本协议的结果，生物新品已经得到扩大。,2
运营利润和营业额为三个月的营业周期和营业额均有增长，分别从2005年的10.9m和2005年的8.3米和2005年的1.3m增长，相比2005年,2
在芬兰，流通收入增长了5%，在2008年在瑞典的增长了4%，在瑞典，在2008年的流通收入增长了4%。,2
服装连锁链链SEP+L++的净销售增长了7.0%，至欧元30.8MN。,2
建筑容积在一个年增长率10-15%的百分比，每年增长10-15%的百分比。,2
然而，Bichit估计其净利润将在2009年继续增长，而且净利润的趋势将在2009年达到利润。,2
2009年，FSTSCARS的现金流量从经营活动到EUR1210，从去年的欧盟9700万。,2
在立陶宛，2005年，在同一时期，运营利润从2005年的7万欧元增长到19万欧元。,2
2008年第四季度净销量从2007年第四季度的10277.0亿增长到2%，从2007年第四季度的1050.7兆。,2
国际销售额增长了59.8%，至1，244.4MBN的欧盟销售额增长了59.8%，达到了1，144.4MN。,2
2006年，2006年的净销售额从X20AC4亿增加到X20AC4亿80万美元，从2006年的X20AC4.00亿美元。,2
从去年同期的一年前的欧元43800万增至2010年4月的4.65亿欧元，从10年前增加到2010年的6.45亿欧元。,2
净销售额同比增长25.5%，达到了欧洲59.6米，因为发电机的数量增长了41%，达到6590万块，增长了41%，达到6590万块。,2
净销售额为93.6亿，2005年从EUR93.2锰增加到了相应的93.2亿锰销售额。,2
操作利润增加了145.1%，至欧元8.3锰，从欧盟3.4锰增加了8.3。,2
营业利润利润率从11.2%增加到11.7%，从11.7%增加到11.7%。,2
2009年，在对应的时间内，运营利润从2009年的1.22锰从欧元升至欧元3.11MN。,2
2008年第四季度，欧盟第四季度利润增长到欧盟500万欧元，从欧盟2.8MN增长到欧盟500万。,2
