content,sentiment
据Grand说，公司没有计划将所有的生产转移到俄罗斯，尽管这是公司正在增长的地方。,0
该声明说，技术油炸厂计划在一个不低于10万平方米的阶段开发，以便能够向主机公司在电脑技术和电信公司工作的公司提供工作。,0
随着新生产厂的发展，公司将增加其能力，以满足预期的需求增长，提高原材料的使用，从而提高生产盈利性。,2
根据公司2009年至2022012年的更新战略，巴斯软件目标长期销售额增长率为20%-40%，营业利润占营业利润的10%，净销售额为10%-20,2
在2010年的上一季度，Contera的净销售额从一年前的同期增至1310亿欧元，同时也从预税前的税前利润转移到了欧元70亿欧元的税前亏损。,2
在2010年第三季度，净销售额增长了5.2%，至205.5m.5，营业利润增长34.9%，至23.50欧元。,2
2007年，在2007年的净销售额相对7.7%的同时，经营利润从欧洲的8.7号升至13.1兆锰。,2
经营利润总计达21.1MN，比2007年的欧元兑18.6MN，占净销售额的9.7%。,2
TlectianiasonerTlsn说，该提议与其在核心商业控股中的所有权的策略相一致，并且将加强Estisentereekom的提供给客户的,2
"""StratesEnso,诺斯克斯克罗格,M-RESTAR-KeymineResusesti首届波士顿信贷(CFSB)在北欧最大的四个林群中,股",2
"""一份购买汽油价格达7,200吨,在芬兰火腿终端与货币交付,在香港油OYJ的平均价格指数下调,每月9月的平均PTDS指数为8美元.""",2
芬兰人才公司公司2004年营业利润从2004年的9.3亿欧元增至2005，而净利润增长到2005年的20.5美元，欧元103.3亿元，从96.4,2
服装零售连锁零售链SEPP+L+的销售额增长了8%，达到155.2MN，运营利润从2004年的17.1MN增加到31.1M。,2
"""同时,总净销售额增长16%,达到16%,而经营利润达到欧盟0.9米,而去年同期亏损为欧元兑欧元0.7米.""",2
"""FisConters部门公布其销售从2006年的5750亿M增长了9.7%,从2006年的57.5000亿MN增长到欧元，机械零售部门的增长了",2
"""据分析师表示,该公司预期公布计划与三友合作,并由诺基亚股票(AFX)收高,该股收入高于分析师预期后,诺基亚公司(NOCT.N:行情)表示,该公",2
印加公司（FisconippAccentAppServicesPVT）是芬兰印加公司的子公司，计划在2007-2008年之间增加其收入。,2
其董事会将于2010年欧洲总成交的每股盈余0.12美元，较2009年的每股2009年的每股收益增加了0.08欧元。,2
生命树成立于2000年，其收入平均上升了40%，在30年代后期利润增长40%。,2
据2009年7月，2009年12月31日，Megan的子户基地用户增长了16.1%，截至2009年12月31日，其市场份额达到24%，比2000,2
2009年，从生命保险到欧元的净收入从欧元的3.2锰增加到欧元6.8锰，而非寿险的净收入从欧元兑1.5锰的2009年同期增加到了2009年的1.,2
净销售从1933.9M增加至193.3M，欧元从179.9M增加了34.2%，至1.4美元，增长34.2%，至43.1.1米（欧元1美元1.1/,2
"""Telestelsee表示,欧元兑美元EUR20.4M20.4%,或12.2%,销售收入增幅为18.5%,报16.8%.""",2
诺尔德亚集团在2010年的营运利润增长18%，到36亿欧元，总收入增长3%，达到933亿欧元。,2
九个月的营运利润从13.6米增长到13.6米，而网络销售的增长则是2005年的相对期。,2
九个月的营业利润从2007年的欧元区增加到了3.1米，同比2007年同期增长的9个月的净销售额增加了61.5米。,2
与2005年相比，三个月的运营利润从欧洲运营期的1.2米增长，而收益从2005年的20.2米增加，而2005年的相对期增加。,2
"""去年，芬兰安全解决方案供应商的巴西单位F-安全解决方案提供商F-Ast签署了1,5000个新客户，在线新闻源ReserestResencere",2
该公司称，该公司的净利润增长11.4%，至2005年的销售额为8220万欧元，同比增长13.8%，该公司早些时候说。,2
"""立陶宛啤酒市场1月份占据1,41410万公升，比上年同比上升了0.8%，立陶宛的酿酒协会(ListinicBargerCoursion)报导了",2
维京海斯特线的货运营收入增长了5.4%，欧盟21.46万吨，货物量增加了2.4%，至70.116吨货运单位。,2
房地产组合的公允价值由于卡因斯利收购和总价值2686.2122，259.7万亿。,2
2011年2月10日-芬兰媒体公司SanomoOyjHel:SanaajVell:SaaA1V002009年净利润几乎三倍至欧元197.3MEU,2
赫尔辛基：埃利夫今天报告说，2009年欧洲第1.13EPSEPS，比2008年EESUR1.12增长过一个月。,2
ASPLC股票交易所20112年2月11日发布，ASPO集团公司ASPO公司，一家部分Aspo集团，与拉塔鲁库克基公司签订了一份新的长期合约，为,2
委员会收入增长了22%，欧元4.4MN，贷款量增长13.5%。,2
在一月，在收入旅客公司的RPK中，交通量，在收入的旅客公里，上升了3.2%，在可用的座位公里的问题上，能量上升了12.2%，涨了12%。,2
2010年1月-2010年9月，FISARS的净利润同比增长了14%，增长了14%，达到6540万欧元，而且净销售从48777万欧元增长到了5.,2
生命保险净收入从2009年的欧元升至14.0欧元，而欧元从非寿险到2009年欧元的净收入则从14.014亿欧元，从非生命保险到22.6元。,2
尼尔斯塔尔同意在浓缩锌锌矿精中的过程中，每年提供15万吨硫酸，用于塔维瓦拉的浸出过程中。,2
其他出口市场已经上涨，销售额已经上升到了其他出口市场。,2
销售增加，由于市场利率和运营率增加，销售增加，营业增加。,2
这个协议加强了我们与诺基亚西门子网络的长期合作伙伴关系，加强了我们与诺基亚西门子网络的长期合作。,2
该协议签署了BishitHeaphe医疗保健有限公司的签署，BishtiteAcessionAlthing是芬兰的一家公司，BishitOyj的,2
该公司还预计，当2009年他们达到14177万欧元时，他们已经开始进行投资，从2009年起2010年到2010年的净销量增加了一个数量。,2
该公司的订单在2007年9月30日的1.5磅，价格为1.5磅，今年同期的2007年增长24.2倍，国际订单额达到3.6毫升，达到534.4美元。,2
该公司表示，其主要市场中的纸质需求增加了，包括出版论文，其平均纸价比去年增加了4%。,2
"""世界各国第二大不锈钢铁生产商公布,该公司3个月内净净利润在12月前,至12月31日升至每股6,6,8303亿美元,即78310.33美元,报每",2
在合作伙伴关系框架之内，诺基亚西门子网已与俄罗斯最大的微电子元件生产商JSCMIKRON，并与SitteronSimestics网站签署了初步的,2
Separa的收入在芬兰增加0.2%，至10.1欧元，芬兰的收入下降2.4%，至欧洲6.8米，而在俄罗斯的销售增长了6.2%，而在俄罗斯的销售额,2
标准特许经营者（Stance）股价上涨1.2%，而皇家苏格兰皇家银行股价上涨2%，巴克莱斯股价（BCS）上涨1.7%。,2
诺基亚公司股票上涨了星期四，手机制造商说，他们第三季度的收入几乎翻了一番，全球手机市场的比率也增加了一些。,2
"""SEB周五公布的财务报告称,2010年净利润从2010年同期上调至SEK6.745BN,并提出50%的股利增长,每股SEK1.50%.""",2
店铺销售额增长了15%，服装店子公司的销售额增长了15%，服装店子公司的销售额同比增长了8%，而爱好品厅销售额则减少12%。,2
在芬兰媒体公司AmalameMedies的要求下，芬兰古典媒体研究中心的研究经理JariCarvo-Oja在德鲁经济学学院的研究中心，通过大学模,0
在瑞典，加利利斯累积的销售额下降了1%，欧盟人口的销售额上升了11%。,0
公司支持全球客户在发展新技术，并为全球客户提供一个快捷的路线从产品开发到应用程序和卷生产。,0
这个投资已经完成，阿塔里亚计划扩大到莫斯科市场。,0
六月份，它将30%的股份卖给诺德斯特杰杰南，而投资集团现在已经获得了获得EQT剩余股票的选择权。,0
Kesko公司股票交易所2002.02.2年发布的28.02，Kesko公司2008年，在09.30（1）Kesko公司和Aspo公司今天签署了,2
"""股票交易所公告2006年7月20日(1)巴斯软件订阅,有保证,股价增加,共订阅119850股股票，已经订阅BASWARE保证计划.""",0
这个新工厂计划将有一个发电能力达到350兆瓦（瓦）和发电能力同等的发热能力。,0
"""OMXHigrex25指数升0.92,PCT报2,518.67点,赫尔辛基的CAPPT指数上升0.91%,报4,711.19.",2
根据2004年的股票期权计划，可以进一步订购666104股新股，以便进一步使用B期权。,0
由于股票问题，公司股票数量增长3911630股，股份共计15665.20股，共计股权增长15265.20股。,0
在芬兰和芬兰的赫尔辛基和爱沙尼亚的路上，货物量增加了36%，芬兰和瑞典的货量减少了9%。,0
其他措施包括，在格雷姆地带集团和人员调整、潜水和重新调整超量吨位的过量调整内的协同和规模规模经济的增长。,0
"""巴克斯基亚尼将销量上升18.1%,至137万公升,而卡罗努纳铝业的销量增长14.3%,至29.90万公升.""",2
"""通讯世界WireWi-2006年4月7日-TJ集团(TJG.N:行情)周五4月7日表示，TJ集团(TJGroupGroupPLC(TJG)在上",2
718，430系列A股将成为在赫尔辛基股票交易所主要列表上的交易，与旧系列股份A股份，2006年7月3日。,0
Tiimimari在6个国家经营194家商店，包括其核心芬兰市场，在2005年生产了76.5毫升欧盟的营业额。,0
根据本协议，BIOITETHIE成为欧洲各地的VWR客户的集中管道供应商和可分散管道管道提示的供应商。,2
UWEBACCH说，所有服务的组合使我们能够提供一个复杂而加强的服务链，不仅仅限于波罗的港口连接，还能够更好地接入世界范围广泛的网络，地中海、非,2
从1个优点来看，没有盲点，让调查人员能够看到全部的故事，而且没有无损的视频。,0
"""该公司仍预计2010年将会从2009年的水平略升高,并补充称,“市场预测性仍然不如预测当年合同制造业务市场发展的可信预测,而且可信预测仍然太差",2
这次收购将会使基米拉在俄罗斯金金属工业外涂装市场的销售和市场地位大幅提高。,2
在2007年1月-2007年9月，芬尼线的净销售额从2006年相应期限的473.5MN上升到了2006年同期的欧洲人55.4。,2
调整为了调整组织结构，分部网销售额增加了1.7%。,2
Fimarcar市市场通信主管Perashaska说，这将使我们的营销效率优化。,2
日布公司谷谷谷总监和巴卡多纳斯说，他们不仅将投资于物质基础设施，科技园区的管理和开发，还将提供知识。,2
2011年2月4日-芬兰宽带数据通讯系统提供商TereteEteeOyjHel:The1v在2010年2010年的最后一季度利润跳升到2.1M。,2
芬兰AkagiaGroup的营业利润在2009年第一季度从2009年第一季度的8.2亿增至17.5亿，上升到2010年第一季度。,2
"""芬兰加拿大银行+LANDENGNUREAN银行的净净利润从2005年第一季度的4.8MN增长到2006年第一季的6,4MN.""",2
芬兰金融集团阿卡蒂亚报告2009年1月至9月44锰的运营收益，从2008年的相应期间的37.3MN增长率到2008年的2008年。,2
芬兰高科技提供者Vaahto集团在2007年9月至2008年9月份的会计期间报告了销售额的41808M，比上年同期增长了11.2%。,2
芬兰食品行业公司L+Nennettatta2008年的净销售额从2007年的欧洲349.1亿欧盟349.1MN继续增长13%，达到207年的34,2
个人推广还能比预期的收入有些高出一些的，而且也能产生一个个小的推广。,2
Bosithit已经服务了许多现在创世客户和客户基地的许多服务，因为这个协议的结果，Bioht已经被预计扩展。,2
三个月期的营业利润和营业盈余分别为欧元区和欧元区的营业利润分别为0.9米和欧元区，与2005年相比，2005年的营业利润和盈亏损率分别为2001,2
